FENCE commit cycle=73
B cycle=94 addr=80000080 resp=0
INVALIDATE cycle=103 done=1
QUERY A cycle=104 maintenance=0 invalidate=0
COMMIT cycle=439 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=440 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=441 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=442 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=443 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=444 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=445 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=446 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=447 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=448 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=449 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=450 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=451 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=452 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=453 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=454 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=455 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=456 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=457 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=458 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=459 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=460 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=461 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=462 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=463 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=464 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=465 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=466 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=467 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=468 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=469 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=470 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=471 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=472 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=473 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=474 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=475 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=476 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=477 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=478 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=479 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=480 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=481 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=482 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=483 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=484 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=485 pc=800001c0 next=800001c0 trap=0
